,,,,,,,,,2 QB,Dynasty,Dynasty 2 QB,AAV,,Health Report,
Rank,Name,Team,Pos,Fantrax,Sleeper,ESPN,MFL,NFFC,Sleeper,Sleeper,Sleeper,MFL,ESPN,Status,Injury
133,Keenan Allen,LAC,WR,125.01,141.80,170.00,137.74,142.52,155.60,243.00,236.80,3.64,,,
134,Darnell Mooney,ATL,WR,123.04,142.60,170.00,133.92,120.04,144.10,237.70,143.10,3.48,,,
135,Jaydon Blue,DAL,RB,146.82,143.70,170.00,64.47,147.08,139.60,215.80,111.30,3.56,,,
136,Caleb Williams,CHI,QB,136.81,144.90,170.00,78.65,110.49,55.40,166.60,85.60,5.84,,,
137,Brandon Aiyuk,SF,WR,143.66,145.80,170.00,132.51,141.37,136.50,188.30,108.70,6.04,,Reserve-DNR,Knee - ACL + MCL
T138,Najee Harris,LAC,RB,133.47,146.90,170.00,124.18,128.37,134.70,213.50,121.10,6.13,,Ques,Achilles
T138,Jake Elliott,PHI,K,209.73,146.90,170.00,141.14,-,167.80,236.90,214.40,1.37,,,
140,J.J. McCarthy,MIN,QB,129.34,148.60,170.00,98.17,136.38,78.00,167.20,115.80,4.50,,Ques,Hand
141,Marvin Mims,DEN,WR,119.87,149.30,170.00,129.70,123.99,148.90,229.20,144.80,2.56,,,
142,Cam Little,JAX,K,297.91,150.70,170.00,149.68,-,194.50,251.40,251.40,1.23,,,
143,Harrison Butker,KC,K,241.35,151.70,170.00,139.84,-,169.90,163.60,179.70,1.50,,,
144,Chase McLaughlin,TB,K,168.92,152.00,170.00,139.31,-,197.60,307.50,223.30,1.18,,,
145,Braelon Allen,NYJ,RB,102.74,153.20,170.00,128.95,144.02,153.70,240.30,136.50,2.71,,Ques,Knee - MCL
146,Justin Fields,NYJ,QB,107.91,153.60,170.00,88.41,121.57,77.00,174.70,160.70,5.73,,Ques,Knee
147,Trey Benson,ARI,RB,141.50,155.40,170.00,133.25,133.96,145.40,151.30,103.30,1.40,,Ques,Knee - Meniscus
148,Zach Ertz,WAS,TE,162.54,156.50,170.00,139.00,178.67,146.30,272.50,233.30,2.86,,Ques,Knee - ACL
149,Luther Burden,CHI,WR,165.94,158.10,170.00,52.78,133.77,146.40,139.70,95.70,8.32,,,
150,Christian Kirk,HOU,WR,117.24,159.60,170.00,142.80,121.80,150.10,342.00,192.60,3.46,,,
T151,Ollie Gordon,MIA,RB,142.34,160.20,170.00,82.17,189.61,189.00,321.60,151.80,3.26,,,
T151,Cam Ward,TEN,QB,156.70,160.20,170.00,46.70,185.03,102.50,108.70,104.30,15.04,,Ques,Shoulder - AC Joint
153,Rachaad White,TB,RB,148.75,162.50,170.00,127.80,151.26,151.60,209.80,145.90,4.12,,,
154,Jerome Ford,CLE,RB,158.74,163.60,170.00,126.31,161.70,181.30,425.40,171.90,3.90,,Ques,Shoulder
155,Tre' Harris,LAC,WR,163.23,164.70,170.00,46.91,168.20,149.10,199.10,99.70,6.48,,,
156,Adam Thielen,FA,WR,149.08,165.40,170.00,145.36,170.05,183.10,454.50,237.30,2.91,,,
157,Tyler Bass,BUF,K,215.61,166.70,170.00,152.98,-,200.20,235.80,185.90,1.20,,Ques,Hip
158,Rashod Bateman,BAL,WR,162.05,167.20,170.00,124.73,140.95,153.30,323.30,150.80,3.95,,Ques,Illness
159,Younghoe Koo,FA,K,322.66,167.80,170.00,162.24,-,198.30,421.30,256.70,1.03,,,
160,Tyler Loop,BAL,K,284.03,170.60,170.00,114.65,-,199.20,228.00,216.50,1.69,,,
161,Hunter Henry,NE,TE,167.59,172.80,170.00,130.34,177.10,173.40,250.70,240.40,2.64,,,
162,Bhayshul Tuten,JAX,RB,140.00,173.70,170.00,59.38,144.91,152.40,200.70,111.50,4.10,,,
163,Tyjae Spears,TEN,RB,189.53,174.30,170.00,140.45,149.01,170.00,223.50,141.10,2.50,,,
164,Trevor Lawrence,JAX,QB,129.84,176.80,170.00,96.70,136.69,82.40,172.70,146.50,6.87,,,
165,Dylan Sampson,CLE,RB,131.62,177.10,170.00,64.05,147.10,156.90,234.30,134.60,3.11,,,
166,Isaiah Likely,BAL,TE,193.22,178.60,170.00,149.54,184.28,171.30,221.20,125.80,3.17,,,
167,Michael Penix,ATL,QB,182.74,179.60,170.00,106.93,160.31,95.00,178.50,138.50,3.57,,Ques,Knee - ACL
168,Dont'e Thornton,LV,WR,199.37,180.40,170.00,77.28,209.47,216.60,394.30,201.90,2.58,,,
169,Kyle Williams,NE,WR,191.94,181.70,170.00,52.39,181.97,180.90,227.30,137.50,5.66,,,
170,Xavier Legette,CAR,WR,162.74,181.80,170.00,164.31,164.68,192.00,288.70,142.90,0.79,,,
171,Chig Okonkwo,TEN,TE,190.29,183.90,170.00,165.10,200.01,188.50,390.50,225.00,1.74,,,
172,Evan McPherson,CIN,K,260.12,184.60,170.00,150.93,-,202.80,241.70,216.30,1.52,,,
173,Ray Davis,BUF,RB,150.51,185.40,170.00,135.27,145.55,181.70,237.40,152.60,1.88,,,
174,Tyler Allgeier,ATL,RB,165.07,186.30,170.00,153.65,161.35,185.70,230.30,158.50,3.16,,,
175,Ka'imi Fairbairn,HOU,K,198.95,187.50,170.00,150.42,-,207.10,239.70,227.30,1.17,,,
176,Brenton Strange,JAX,TE,169.28,188.70,170.00,149.65,184.84,179.00,220.10,191.70,3.42,,,
177,Joshua Palmer,BUF,WR,165.10,190.90,170.00,168.40,174.49,193.90,405.50,209.00,2.12,,Ques,Ankle
178,Isaac Guerendo,SF,RB,209.45,191.10,170.00,154.48,166.62,186.40,331.10,153.50,2.37,,,
179,Cedric Tillman,CLE,WR,160.17,192.10,170.00,160.65,151.73,190.00,384.00,188.30,2.31,,,
180,Kareem Hunt,KC,RB,232.65,193.40,170.00,153.27,205.13,218.60,391.40,245.00,3.10,,,
181,Hollywood Brown,KC,WR,166.07,194.00,170.00,172.48,147.68,191.40,310.50,195.40,3.13,,,
182,Matthew Stafford,LAR,QB,179.24,195.30,170.00,114.26,184.91,111.30,184.70,257.60,6.62,,,
183,Tua Tagovailoa,MIA,QB,167.05,197.30,170.00,110.87,173.28,110.20,263.50,218.20,5.98,,,
184,Isaac TeSlaa,DET,WR,196.91,198.40,170.00,67.58,226.64,225.90,287.00,184.90,2.77,,,
185,Daniel Carlson,LV,K,249.41,199.50,170.00,174.21,-,496.50,403.90,291.00,,,,
186,Bryce Young,CAR,QB,144.96,200.70,170.00,111.57,167.07,106.60,204.60,183.60,3.77,,,
187,Amari Cooper,FA,WR,-,201.10,170.00,163.59,226.37,234.80,-,246.20,2.21,,Reserve-Ret,Undisclosed
188,Wil Lutz,DEN,K,214.56,202.20,170.00,146.78,-,237.20,467.90,303.50,1.21,,,
189,Wan'Dale Robinson,NYG,WR,166.03,204.10,170.00,145.49,152.88,209.80,201.10,205.70,2.37,,Ques,Ribs
190,Mason Taylor,NYJ,TE,213.57,205.10,170.00,55.93,214.04,184.10,212.10,131.40,3.08,,Ques,Neck
191,Darren Waller,MIA,TE,197.02,206.20,170.00,134.78,244.08,214.50,432.00,302.40,3.55,,Ques,Groin
192,DeMario Douglas,NE,WR,180.19,207.20,170.00,159.39,162.26,212.30,419.10,200.80,1.92,,,
