,,,,,,,,,2 QB,Dynasty,Dynasty 2 QB,AAV,,Health Report,
Rank,Name,Team,Pos,Fantrax,Sleeper,ESPN,MFL,NFFC,Sleeper,Sleeper,Sleeper,MFL,ESPN,Status,Injury
T619,Dean Marlowe,FA,S,-,-,170.00,-,-,-,-,-,,,,
T619,Quan Martin,WAS,S,-,-,170.00,-,-,-,-,-,,,,
T619,Tyrann Mathieu,FA,S,-,-,170.00,-,-,-,-,-,,,,
T619,Marcus Maye,FA,S,-,-,170.00,-,-,-,-,-,,,,
T619,Bobby McCain,FA,S,-,-,170.00,-,-,-,-,-,,,,
T619,Tanner McCalister,KC,S,-,-,170.00,-,-,-,-,-,,,,
T619,Jaylen McCollough,LAR,S,-,-,170.00,-,-,-,-,-,,,,
T619,Tristin McCollum,LV,S,-,-,170.00,-,-,-,-,-,,,,
T619,Xavier McKinney,GB,S,-,-,170.00,-,-,-,144.70,-,,,,
T619,Donovan McMillon,CLE,S,-,-,170.00,-,-,-,-,-,,,,
T619,Patrick McMorris,NYG,S,-,-,170.00,-,-,-,-,-,,,,
T619,Ifeatu Melifonwu,MIA,S,-,-,170.00,-,-,-,641.00,-,,,,
T619,Kaevon Merriweather,HOU,S,-,-,170.00,-,-,-,-,-,,,,
T619,Josh Metellus,MIN,S,-,-,170.00,-,-,-,195.70,-,,,Ques,Shoulder
T619,RJ Mickens,LAC,S,-,-,170.00,-,-,-,-,-,,,,
T619,Chris Miller,FA,S,-,-,-,-,-,-,-,-,,,,
T619,Glendon Miller,FA,S,-,-,-,-,-,-,-,-,,,,
T619,Jalen Mills,DET,S,-,-,170.00,-,-,-,-,-,,,,
T619,Tre'von Moehrig,CAR,S,-,-,170.00,-,-,-,284.00,-,,,,
T619,Elijah Molden,LAC,S,-,-,170.00,-,-,-,-,-,,,,
T619,Smoke Monday,FA,S,-,-,-,-,-,-,-,-,,,,
T619,Jarius Monroe,NYJ,S,-,-,170.00,-,-,-,-,-,,,,
T619,Joshua Moon,FA,S,-,-,-,-,-,-,-,-,,,,
T619,A.J. Moore,FA,S,-,-,-,-,-,-,-,-,,,,
T619,C.J. Moore,FA,S,-,-,-,-,-,-,-,-,,,,
T619,Malachi Moore,NYJ,S,-,-,170.00,-,-,-,-,-,,,,
T619,Tarvarius Moore,FA,S,-,-,170.00,-,-,-,-,-,,,,
T619,Jordan Mosley,FA,S,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T619,Israel Mukuamu,FA,S,-,-,170.00,-,-,-,-,-,,,,
T619,Andrew Mukuba,PHI,S,-,-,170.00,70.72,-,-,417.20,-,,,Ques,Ankle
T619,Marcus Murphy,FA,S,-,-,-,-,-,-,-,-,,,,
T619,Eric Murray,JAX,S,-,-,170.00,-,-,-,-,-,,,,
T619,Malik Mustapha,SF,S,-,-,170.00,-,-,-,593.00,-,,,,
T619,Keanu Neal,FA,S,-,-,170.00,-,-,-,-,-,,,,
T619,Ryan Neal,FA,S,-,-,170.00,-,-,-,-,-,,,,
T619,Siran Neal,SF,S,-,-,170.00,-,-,-,-,-,,,,
T619,Morice Norris,FA,S,-,-,170.00,-,-,-,-,-,,,Ques,Concussion
T619,Tyler Nubin,NYG,S,-,-,170.00,-,-,-,279.80,-,,,Ques,Neck
T619,George Odum,IND,S,-,-,170.00,-,-,-,-,-,,,,
T619,Ty Okada,SEA,S,-,-,170.00,-,-,-,-,-,,,,
T619,Kitan Oladapo,GB,S,-,-,170.00,-,-,-,-,-,,,,
T619,Isaiah Oliver,NYJ,S,-,-,170.00,-,-,-,-,-,,,Ques,Knee
T619,Gervarrius Owens,CHI,S,-,-,170.00,-,-,-,-,-,,,,
T619,Jonathan Owens,CHI,S,-,-,170.00,-,-,-,-,-,,,,
T619,Tyler Owens,WAS,S,-,-,170.00,-,-,-,-,-,,,,
T619,Ayo Oyelola,FA,S,-,-,-,-,-,-,-,-,,,,
T619,Jabrill Peppers,PIT,S,-,-,170.00,-,-,-,-,-,,,,
T619,Dell Pettus,NE,S,-,-,170.00,-,-,-,-,-,,,,
T619,Adrian Phillips,FA,S,-,-,170.00,-,-,-,-,-,,,,
T619,Jason Pinnock,SF,S,-,-,170.00,-,-,-,-,-,,,,
T619,Isaiah Pola-Mao,LV,S,-,-,170.00,-,-,-,482.90,-,,,Ques,Shoulder
T619,Jordan Poyer,BUF,S,-,-,170.00,-,-,-,-,-,,,Ques,Hamstring
T619,Jalen Ramsey,PIT,S,-,-,170.00,-,-,-,383.00,-,,,,
T619,Caleb Ransaw,JAX,S,-,-,170.00,-,-,-,-,-,,,Ques,Lower Body
T619,Lathan Ransom,CAR,S,-,-,170.00,-,-,-,-,-,,,,
T619,Taylor Rapp,BUF,S,-,-,170.00,-,-,-,460.30,-,,,Ques,Knee
T619,Jeremy Reaves,WAS,S,-,-,170.00,-,-,-,-,-,,,,
T619,Sheldrick Redwine,FA,S,-,-,170.00,-,-,-,-,-,,,,
T619,Jaylen Reed,HOU,S,-,-,170.00,-,-,-,-,-,,,,
T619,Jerrick Reed,TEN,S,-,-,170.00,-,-,-,-,-,,,,
T619,Justin Reid,NO,S,-,-,170.00,-,-,-,-,-,,,,
T619,Demani Richardson,CAR,S,-,-,170.00,-,-,-,-,-,,,,
T619,Elijah Riley,FA,S,-,-,170.00,-,-,-,-,-,,,,
T619,Jammie Robinson,ATL,S,-,-,170.00,-,-,-,-,-,,,,
T619,Eric Rowe,FA,S,-,-,170.00,-,-,-,-,-,,,,
T619,Andre' Sam,PHI,S,-,-,-,-,-,-,-,-,,,,
T619,Shilo Sanders,FA,S,-,-,-,-,-,-,684.00,-,,,,
T619,Jonas Sanker,NO,S,-,-,170.00,-,-,-,690.70,-,,,,
T619,Benny Sapp,FA,S,-,-,170.00,-,-,-,-,-,,,,
T619,John Saunders,NE,S,-,-,-,-,-,-,-,-,,,,
T619,Darnell Savage,BUF,S,-,-,170.00,-,-,-,-,-,,,,
T619,Brenden Schooler,NE,S,-,-,170.00,-,-,-,-,-,,,,
T619,Daniel Scott,IND,S,-,-,170.00,-,-,-,-,-,,,Ques,Knee
T619,Nick Scott,CAR,S,-,-,170.00,-,-,-,-,-,,,,
T619,Marques Sigle,SF,S,-,-,170.00,-,-,-,668.30,-,,,,
T619,Isaiah Simmons,CAR,S,-,-,170.00,-,-,-,-,-,,,,
T619,Joshua Simmons,FA,S,-,-,-,-,-,-,-,-,,,,
T619,Justin Simmons,FA,S,-,-,170.00,-,-,-,-,-,,,,
T619,JL Skinner,DEN,S,-,-,170.00,-,-,-,-,-,,,Ques,Shoulder - Labrum
T619,Chris Smith,NYJ,S,-,-,170.00,-,-,-,-,-,,,,
T619,Harrison Smith,MIN,S,-,-,170.00,-,-,-,477.50,-,,,,
T619,Tykee Smith,TB,S,-,-,170.00,-,-,-,353.90,-,,,,
T619,Daniel Sorensen,FA,S,-,-,170.00,-,-,-,-,-,,,,
T619,Malaki Starks,BAL,S,-,-,170.00,52.19,-,-,183.30,-,,,,
T619,Caden Sterns,FA,S,-,-,170.00,-,-,-,-,-,,,,
T619,M.J. Stewart,HOU,S,-,-,170.00,-,-,-,-,-,,,Ques,Quadriceps
T619,Geno Stone,CIN,S,-,-,170.00,-,-,-,692.30,-,,,,
T619,Teez Tabor,FA,S,-,-,170.00,-,-,-,-,-,,,,
T619,Garrett Taylor,FA,S,-,-,-,-,-,-,-,-,,,,
T619,Jason Taylor,FA,S,-,-,170.00,-,-,-,-,-,,,,
T619,Trey Taylor,FA,S,-,-,170.00,-,-,-,-,-,,,,
T619,Dadrion Taylor-Demerson,ARI,S,-,-,170.00,-,-,-,-,-,,,,
T619,Roderic Teamer,FA,S,-,-,170.00,-,-,-,-,-,,,,
T619,A.J. Thomas,FA,S,-,-,170.00,-,-,-,-,-,,,,
T619,Daniel Thomas,DET,S,-,-,170.00,-,-,-,-,-,,,,
T619,Josh Thomas,FA,S,-,-,-,-,-,-,-,-,,,,
T619,Juanyeh Thomas,DAL,S,-,-,170.00,-,-,-,-,-,,,Ques,Migraine
T619,Michael Thomas,FA,S,-,-,170.00,-,-,-,-,-,,,,
T619,Rodney Thomas,IND,S,-,-,170.00,-,-,-,-,-,,,,
T619,Jalen Thompson,ARI,S,-,-,170.00,-,-,-,457.40,-,,,,
T619,Trenton Thompson,FA,S,-,-,170.00,-,-,-,-,-,,,,
T619,Juan Thornhill,FA,S,-,-,170.00,-,-,-,-,-,,,,
T619,Dante Trader,MIA,S,-,-,170.00,-,-,-,-,-,,,,
T619,Nolan Turner,FA,S,-,-,170.00,-,-,-,-,-,,,,
T619,Delarrin Turner-Yell,FA,S,-,-,170.00,-,-,-,-,-,,,Out,Knee
T619,Nate Valcarcel,LAR,S,-,-,-,-,-,-,519.00,-,,,,
T619,Tracy Walker,FA,S,-,-,170.00,-,-,-,-,-,,,,
T619,K'Von Wallace,FA,S,-,-,170.00,-,-,-,-,-,,,,
T619,Jay Ward,MIN,S,-,-,170.00,-,-,-,-,-,,,,
T619,Jimmie Ward,HOU,S,-,-,170.00,-,-,-,-,-,,,Ques,Foot
T619,Ar'Darius Washington,BAL,S,-,-,170.00,-,-,-,-,-,,,,
T619,Trey Washington,IND,S,-,-,170.00,-,-,-,-,-,,,,
T619,Armani Watts,FA,S,-,-,-,-,-,-,-,-,,,Ques,Ankle
T619,Xavier Watts,ATL,S,-,-,170.00,78.80,-,-,396.40,-,,,,
T619,Tre Webb,FA,S,-,-,-,-,-,-,-,-,,,,
T619,Jordan Whitehead,FA,S,-,-,170.00,-,-,-,-,-,,,,
T619,Evan Williams,GB,S,-,-,170.00,-,-,-,626.50,-,3.59,,,
T619,Marcus Williams,FA,S,-,-,170.00,-,-,-,-,-,,,,
T619,Kendall Williamson,LAC,S,-,-,170.00,-,-,-,-,-,,,Ques,Ankle
T619,Donovan Wilson,DAL,S,-,-,170.00,-,-,-,-,-,,,,
T619,Tavon Wilson,FA,S,-,-,-,-,-,-,-,-,,,Ques,Foot
T619,Antoine Winfield,TB,S,-,-,170.00,-,-,-,132.80,-,,,,
T619,Andrew Wingard,JAX,S,-,-,170.00,-,-,-,680.00,-,,,,
T619,Kevin Winston,TEN,S,-,-,170.00,90.14,-,-,-,-,,,Ques,Hamstring
T619,Rashad Wisdom,TB,S,-,-,170.00,-,-,-,-,-,,,,
T619,Hunter Wohler,IND,S,-,-,170.00,-,-,-,-,-,,,Ques,Foot
T619,Julius Wood,DAL,S,-,-,170.00,-,-,-,-,-,,,,
T619,JT Woods,FA,S,-,-,170.00,-,-,-,-,-,,,,
T619,Xavier Woods,TEN,S,-,-,170.00,-,-,-,-,-,1.47,,Ques,Hamstring
T619,Craig Woodson,NE,S,-,-,170.00,-,-,-,599.00,-,,,,
T619,Daryl Worley,FA,S,-,-,170.00,-,-,-,-,-,,,,
T619,Evan Worthington,FA,S,-,-,-,-,-,-,-,-,,,,
T619,Russ Yeast,CIN,S,-,-,170.00,-,-,-,-,-,,,,
T619,Jerell Adams,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Nate Adkins,DEN,TE,-,-,170.00,-,241.10,-,-,-,,,,
T619,Jordan Akins,FA,TE,-,-,170.00,-,241.35,-,-,-,,,,
T619,Mo Alie-Cox,IND,TE,-,-,170.00,-,-,-,-,-,,,,
T619,Erick All,CIN,TE,-,-,170.00,-,241.49,-,-,421.00,,,Ques,Knee - ACL
T619,Austin Allen,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Kenneth Gainwell,PIT,RB,339.27,-,170.00,-,261.25,-,430.50,324.80,,,,
T619,Wayne Gallman,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Myles Gaskin,FA,RB,-,-,170.00,-,-,-,-,-,,,,
T619,Antonio Gibson,NE,RB,331.17,-,170.00,-,265.90,-,572.00,346.40,1.21,,Ques,Knee - ACL
T619,DJ Giddens,IND,RB,201.64,-,170.00,64.67,208.27,235.00,347.60,167.80,2.36,,,
T619,James Gilbert,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Tyler Goodson,IND,RB,-,-,170.00,-,244.60,-,-,-,,,,
T619,Devonta Freeman,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Royce Freeman,FA,RB,-,-,170.00,-,-,-,-,-,,,,
T619,Tyler Ervin,FA,RB,-,-,-,-,-,-,-,-,,,Ques,Foot
T619,Audric Estime,NO,RB,322.58,-,170.00,-,258.24,-,588.00,242.30,,,,
T619,D'Onta Foreman,FA,RB,-,-,170.00,-,-,-,-,-,,,,
T619,D.J. Foster,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Leonard Fournette,FA,RB,339.84,-,170.00,-,-,-,-,-,,,,
T619,Tiyon Evans,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Zach Evans,FA,RB,-,-,170.00,-,-,626.80,-,-,,,,
T619,Tavien Feaster,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Demetric Felton,FA,RB,-,-,170.00,-,-,-,-,-,,,,
T619,Deshaun Fenwick,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Josh Ferguson,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Tim Flanders,FA,RB,-,-,-,-,-,403.00,-,-,,,,
T619,Tayon Fleet-Davis,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,David Fluellen,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Trestan Ebner,FA,RB,-,-,170.00,-,-,-,-,-,,,Ques,Concussion
T619,Ezekiel Elliott,FA,RB,-,-,170.00,-,-,587.50,558.00,-,,,,
T619,Jordan Ellis,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Trevor Etienne,CAR,RB,323.12,-,170.00,63.32,265.43,281.30,416.70,188.20,2.58,,,
T619,Chris Evans,FA,RB,-,-,170.00,-,-,-,-,-,,,,
T619,Darrynton Evans,FA,RB,-,-,170.00,-,241.10,-,-,-,,,,
T619,Daijun Edwards,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Donovan Edwards,MIA,RB,340.31,-,170.00,-,241.98,-,-,328.00,,,,
T619,Gus Edwards,FA,RB,-,-,170.00,-,243.01,-,-,429.00,,,,
T619,Jahwan Edwards,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Clyde Edwards-Helaire,FA,RB,-,-,170.00,-,241.42,-,-,-,,,,
T619,Travis Dye,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Michael Dyer,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Kenyan Drake,FA,RB,-,-,170.00,-,-,439.20,-,-,,,,
T619,Synjyn Days,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Emari Demercado,ARI,RB,338.57,-,170.00,-,244.21,-,-,-,,,,
T619,AJ Dillon,PHI,RB,329.41,-,170.00,-,261.00,-,-,344.60,1.16,,,
T619,Gerrid Doaks,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Tyrion Davis-Price,FA,RB,-,-,170.00,-,-,-,-,-,,,,
T619,Elijah Dotson,FA,RB,-,-,170.00,-,-,-,-,-,,,,
T619,Tony Creecy,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Damarea Crockett,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Dalton Crossan,FA,RB,-,-,-,-,-,354.00,-,-,,,,
T619,DeeJay Dallas,JAX,RB,-,-,170.00,-,-,-,-,-,,,,
T619,Isaiah Davis,NYJ,RB,339.28,-,170.00,-,265.26,310.60,659.00,319.30,0.75,,Ques,Concussion
T619,Malik Davis,DAL,RB,-,-,170.00,-,-,-,-,-,,,Ques,Eye
T619,Quali Conley,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Snoop Conner,FA,RB,-,-,170.00,-,-,-,-,-,,,,
T619,Tim Cook,FA,RB,-,-,-,-,-,444.00,-,-,,,,
T619,Marshaun Coprich,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Jashaun Corbin,FA,RB,-,-,170.00,-,-,-,-,-,,,,
T619,Salvon Ahmed,IND,RB,-,-,170.00,-,-,-,-,-,,,Ques,Ankle
T619,Cam Akers,SEA,RB,339.37,-,170.00,-,250.15,-,-,360.00,0.41,,,
T619,Rasheen Ali,BAL,RB,-,-,170.00,-,241.15,-,652.00,411.00,,,,
T619,Bailey Zappe,NYJ,QB,-,-,170.00,-,-,-,-,-,,,,
T619,Israel Abanikanda,DAL,RB,-,-,170.00,-,-,-,-,427.00,,,,
T619,Ameer Abdullah,IND,RB,-,-,170.00,-,241.18,-,-,-,,,,
T619,Khalid Abdullah,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Bruce Anderson,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Darius Anderson,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Rodney Anderson,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Ryquell Armstead,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Ronald Awatt,FA,RB,-,-,-,-,-,331.00,-,-,,,,
T619,Sherman Badie,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Tyler Badie,DEN,RB,-,-,170.00,-,241.81,-,-,-,,,,
T619,Emani Bailey,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Rushawn Baker,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Kazmeir Allen,FA,RB,340.34,-,-,-,-,-,-,-,,,,
T619,LeQuint Allen,JAX,RB,-,-,170.00,93.98,246.89,-,-,361.00,1.10,,,
T619,Kenjon Barner,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Alex Barnes,FA,RB,-,-,-,-,-,321.00,-,-,,,,
T619,B.J. Baylor,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Greg Bell,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,LeVante Bellamy,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Eno Benjamin,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Raheem Blackshear,FA,RB,-,-,170.00,-,-,-,-,-,,,,
T619,Khari Blasingame,FA,RB,-,-,170.00,-,-,-,-,-,,,,
T619,Ulysses Bentley,IND,RB,-,-,170.00,-,-,-,-,-,,,,
T619,Jalen Berger,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Micah Bernard,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Mike Boone,FA,RB,-,-,170.00,-,-,-,-,-,,,,
T619,Max Borghi,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Joel Bouagnon,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Isaiah Bowser,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Malcolm Brown,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Brandon Bolden,FA,RB,-,-,170.00,-,-,-,-,-,,,,
T619,Reggie Bonnafon,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Darius Bradwell,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Gary Brightwell,CIN,RB,-,-,170.00,-,-,-,-,-,,,,
T619,British Brooks,HOU,RB,-,-,170.00,-,-,-,-,-,,,,
T619,Chris Brooks,GB,RB,339.70,-,170.00,-,247.71,-,-,-,,,,
T619,Jonathon Brooks,CAR,RB,-,-,170.00,-,241.49,694.30,501.00,226.60,,,Ques,Knee - ACL
T619,Kennedy Brooks,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Tahj Brooks,CIN,RB,301.08,-,170.00,73.65,217.52,265.60,490.00,235.30,2.38,,,
T619,Zac Brooks,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Tony Brooks-James,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Nick Brossette,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Brittain Brown,CHI,RB,-,-,170.00,-,-,-,-,-,,,,
T619,Rex Burkhead,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,James Butler,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Noah Cain,FA,RB,-,-,-,-,-,313.00,-,-,,,,
T619,Raymond Calais,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Josh Caldwell,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Trenton Cannon,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Tra Carson,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Martez Carter,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Michael Carter,ARI,RB,-,-,170.00,-,240.91,-,602.00,-,,,,
T619,Nathan Carter,ATL,RB,-,-,170.00,-,-,-,-,-,,,,
T619,Ty Chandler,MIN,RB,-,-,170.00,-,241.64,-,-,419.00,,,,
T619,Tevin Coleman,FA,RB,-,-,-,-,-,325.00,-,-,,,,
T619,Chris Collier,LV,RB,-,-,170.00,-,-,-,-,-,,,,
T619,Julius Chestnut,TEN,RB,340.10,-,170.00,-,245.21,-,-,405.00,,,,
T619,Adam Choice,FA,RB,-,-,-,-,-,381.00,-,-,,,,
T619,Jordan Chunn,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Corey Clement,FA,RB,-,-,170.00,-,-,-,-,-,,,,
T619,Toriano Clinton,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Tarik Cohen,FA,RB,-,-,-,-,-,549.90,-,-,,,,
T619,Hassan Hall,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Deion Hankins,CHI,RB,-,-,-,-,-,-,-,-,,,Ques,Quadriceps
T619,Tre Harbison,FA,RB,-,-,-,-,-,-,-,-,,,Ques,Concussion
T619,JaQuan Hardy,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Kevin Harris,FA,RB,-,-,170.00,-,-,-,-,-,,,,
T619,Pete Guerriero,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Derrius Guice,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Darius Hagans,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Derrick Gore,FA,RB,-,-,170.00,-,-,-,-,-,,,,
T619,Frank Gore,BUF,RB,-,-,170.00,-,-,-,-,435.00,,,,
T619,Alfonzo Graham,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Eric Gray,NYG,RB,-,-,170.00,-,-,-,-,-,,,,
T619,Javian Hawkins,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Hassan Haskins,LAC,RB,-,-,170.00,-,241.39,-,596.00,-,,,,
T619,Kylin Hill,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Dontrell Hilliard,FA,RB,-,-,-,-,-,-,-,-,,,Ques,Neck
T619,Wes Hills,FA,RB,-,-,-,-,-,682.00,-,-,,,,
T619,Nyheim Hines,FA,RB,-,-,170.00,-,241.40,-,651.00,-,,,,
T619,George Holani,SEA,RB,-,-,170.00,-,242.86,-,-,-,,,,
T619,Darnell Holland,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Nick Holley,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Valentine Holmes,FA,RB,-,-,-,-,-,591.00,-,-,,,,
T619,Elijah Holyfield,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Travis Homer,CHI,RB,-,-,170.00,-,-,-,-,-,,,,
T619,Devontae Jackson,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Ja'Quinden Jackson,JAX,RB,-,-,-,-,-,-,-,456.00,,,,
T619,Jarquez Hunter,LAR,RB,287.87,-,170.00,59.18,220.13,256.30,428.80,204.90,2.51,,,
T619,Darius Jackson,FA,RB,-,-,-,-,-,667.00,-,-,,,,
T619,Ramon Jefferson,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Terrell Jennings,NE,RB,-,-,170.00,-,-,-,-,-,,,Ques,Hamstring
T619,Amar Johnson,LAC,RB,-,-,-,-,-,-,-,-,,,,
T619,D'Ernest Johnson,FA,RB,-,-,170.00,-,-,-,-,-,,,,
T619,David Johnson,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Dillon Johnson,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Gus Johnson,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Josh Johnson,FA,RB,-,-,170.00,-,-,-,-,-,,,Ques,Undisclosed
T619,Sione Houma,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Khalil Herbert,NYJ,RB,339.73,-,170.00,-,252.76,-,-,359.60,0.66,,,
T619,Brian Herrien,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Karan Higdon,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Evan Hull,NO,RB,-,-,170.00,-,241.04,-,-,-,,,,
T619,Jordan Howard,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Buddy Howell,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Jason Huntley,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Carlos Hyde,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Mohamed Ibrahim,FA,RB,-,-,170.00,-,-,-,-,-,,,,
T619,Godwin Igwebuike,FA,RB,-,-,170.00,-,-,349.00,-,-,,,,
T619,Keaontay Ingram,KC,RB,-,-,170.00,-,-,-,-,-,,,Ques,Undisclosed
T619,Alexander Mattison,MIA,RB,999.00,-,170.00,-,254.97,-,-,425.00,1.09,,Ques,Neck
T619,Napoleon Maxwell,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Damien Martinez,GB,RB,305.94,-,170.00,76.31,252.04,-,-,247.70,0.90,,,
T619,Kevin Marks,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Qualan Jones,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Ronald Jones,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Desmond Martin,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Keith Marshall,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Taj McGowan,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Elijah McGuire,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Kenny McIntosh,SEA,RB,-,-,170.00,-,241.09,-,-,433.00,,,Ques,Knee - ACL
T619,Jerick McKinnon,FA,RB,-,-,170.00,-,-,-,-,-,,,,
T619,Jaleel McLaughlin,DEN,RB,330.49,-,170.00,220.26,259.21,295.40,514.30,281.00,,,,
T619,Jase McClellan,FA,RB,-,-,170.00,-,-,-,-,-,,,,
T619,Chuck McClelland,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Sincere McCormick,FA,RB,-,-,170.00,-,245.86,-,-,450.00,,,,
T619,Nate McCrary,FA,RB,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T619,Sony Michel,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Dante Miller,NYG,RB,-,-,170.00,-,-,-,-,-,,,,
T619,Kendre Miller,NO,RB,181.13,-,170.00,194.77,223.22,271.10,395.40,209.70,1.62,,Ques,Knee - ACL
T619,Lamar Miller,FA,RB,-,-,-,-,-,560.00,-,-,,,,
T619,Dedrick Mills,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Kendall Milton,CIN,RB,-,-,170.00,-,-,-,-,-,,,,
T619,Jordan Mims,FA,RB,-,-,170.00,-,-,-,-,-,,,,
T619,Elijah Mitchell,NE,RB,304.91,-,170.00,-,258.58,299.00,-,342.70,4.27,,,
T619,Brock Lampe,NE,RB,-,-,-,-,-,668.00,-,-,,,Ques,Undisclosed
T619,Lan Larison,NE,RB,-,-,170.00,-,241.10,-,-,-,,,Ques,Foot
T619,Dylan Laube,LV,RB,-,-,170.00,-,241.10,-,-,-,,,,
T619,Ray Lawry,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Javon Leake,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Benny LeMay,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Dion Lewis,FA,RB,-,-,-,-,-,358.00,-,-,,,,
